thermal_source_id,latitude,longitude,mean_frp,max_frp,total_detections,active_days,persistence_score,recent_activity_rate,previous_23d_activity_rate,activity_change,recent_activity_status,activity_surge,strong_activity_surge,newly_emerging,high_recent_intensity,low_persistence,established_source,anomaly_score,anomaly_status,label,label_confidence,classification,classification_confidence,classification_source,confidence_type,industrial_context_score,classification_risk,anomaly_risk,industrial_risk,thermal_intensity_risk,risk_score,risk_band,sentinel_id,mgrs_tile,scene_date,cloud_cover,date_difference_days,evidence_available,evidence_quality,satellite_image_path,satellite_evidence_status
10,20.88236,81.83005,4.61,6.53,3,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,62.93975903614458,16.44,LOW,S2B_MSIL2A_20260601T050649_N0512_R019_T44QNJ_20260601T085256,T44QNJ,2026-06-01,15.41,0.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QNJ_20260601T085256.jpg,AVAILABLE
11,20.94929,86.0495,3.005098039215686,10.37,51,20,15.11,0.0,0.1739130434782608,-0.1739130434782608,INACTIVE_RECENTLY,False,False,False,False,False,True,0.0,NORMAL / STABLE,Persistent Industrial Thermal Activity,MEDIUM,Persistent Industrial Thermal Activity,42.33,Random Forest v1,Random Forest probability,50,50,0,50,99.95180722891564,42.49,MODERATE,,,,,,,,,UNAVAILABLE
12,20.96249,85.16469,3.590557029177719,13.49,377,30,26.38,0.2857142857142857,0.0869565217391304,0.1987577639751552,STABLE,True,False,False,True,False,True,29.94,WATCH,Mining / Industrial Thermal,HIGH,Mining / Industrial Thermal,87.0,Random Forest v1,Random Forest probability,43,45,20,43,100.0,45.35,MODERATE,S2B_MSIL2A_20260615T044659_N0512_R076_T45QUD_20260615T083228,T45QUD,2026-06-15,4.87,73.0,True,HISTORICAL_ONLY,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260615T044659_N0512_R076_T45QUD_20260615T083228.jpg,AVAILABLE
13,21.01871,80.85632,4.51,4.51,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,15,20,0,15,43.46987951807228,16.52,LOW,S2B_MSIL2A_20260601T050649_N0512_R019_T44QMJ_20260601T085256,T44QMJ,2026-06-01,2.73,0.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QMJ_20260601T085256.jpg,AVAILABLE
14,21.34572,83.20099,8.08,8.08,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,77.87951807228916,18.68,LOW,S2C_MSIL2A_20260603T045701_N0512_R119_T44QQJ_20260603T100112,T44QQJ,2026-06-03,0.45,2.0,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260603T045701_N0512_R119_T44QQJ_20260603T100112.jpg,AVAILABLE
15,21.5047,83.30539,6.32,6.32,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,60.91566265060241,16.14,LOW,S2C_MSIL2A_20260603T045701_N0512_R119_T44QQJ_20260603T100112,T44QQJ,2026-06-03,0.45,2.0,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260603T045701_N0512_R119_T44QQJ_20260603T100112.jpg,AVAILABLE
16,21.65217,83.32424,7.595,17.04,16,2,1.11,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,True,True,False,30.0,WATCH,Industrial Fire,MEDIUM,Industrial Fire,100.0,Random Forest v1,Random Forest probability,8,90,20,8,100.0,54.1,MODERATE,S2C_MSIL2A_20260603T045701_N0512_R119_T44QQJ_20260603T100112,T44QQJ,2026-06-03,0.45,0.0,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260603T045701_N0512_R119_T44QQJ_20260603T100112.jpg,AVAILABLE
17,21.68021,96.15801,2.33,2.33,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,45,20,0,45,22.457831325301207,19.37,LOW,S2C_MSIL2A_20260605T035541_N0512_R004_T47QKE_20260605T084621,T47QKE,2026-06-05,28.14,4.0,True,GOOD,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260605T035541_N0512_R004_T47QKE_20260605T084621.jpg,AVAILABLE
18,21.79231,82.64058,6.057115384615385,29.17,52,7,3.89,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,True,True,False,30.0,WATCH,Agricultural Burning,MEDIUM,Agricultural Burning,98.33,Random Forest v1,Random Forest probability,0,35,20,0,100.0,33.25,MODERATE,S2C_MSIL2A_20260613T045701_N0512_R119_T44QPK_20260613T095409,T44QPK,2026-06-13,1.21,4.0,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260613T045701_N0512_R119_T44QPK_20260613T095409.jpg,AVAILABLE
19,21.85145,82.67696,5.811842105263158,11.68,76,10,5.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,True,False,True,20.0,NORMAL / STABLE,Agricultural Burning,MEDIUM,Agricultural Burning,96.33,Random Forest v1,Random Forest probability,0,35,0,0,100.0,27.25,LOW,S2C_MSIL2A_20260613T045701_N0512_R119_T44QPK_20260613T095409,T44QPK,2026-06-13,1.21,2.0,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260613T045701_N0512_R119_T44QPK_20260613T095409.jpg,AVAILABLE
20,21.87931,82.90089,2.185,2.35,2,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,22.650602409638555,10.4,LOW,S2C_MSIL2A_20260603T045701_N0512_R119_T44QPK_20260603T100112,T44QPK,2026-06-03,0.03,2.0,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260603T045701_N0512_R119_T44QPK_20260603T100112.jpg,AVAILABLE
21,21.91713,82.89899,12.756666666666666,19.51,3,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,True,True,False,30.0,WATCH,Agricultural Burning,MEDIUM,Agricultural Burning,100.0,Random Forest v1,Random Forest probability,0,35,20,0,100.0,33.25,MODERATE,S2C_MSIL2A_20260603T045701_N0512_R119_T44QPK_20260603T100112,T44QPK,2026-06-03,0.03,2.0,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260603T045701_N0512_R119_T44QPK_20260603T100112.jpg,AVAILABLE
22,21.93813,83.04556,6.873333333333334,7.71,3,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,74.3132530120482,18.15,LOW,S2C_MSIL2A_20260603T045701_N0512_R119_T44QQK_20260603T100112,T44QQK,2026-06-03,0.4,2.0,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260603T045701_N0512_R119_T44QQK_20260603T100112.jpg,AVAILABLE
23,21.97414,82.92304,3.03,3.37,2,2,1.11,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,10,20,0,10,32.48192771084337,13.87,LOW,S2A_MSIL2A_20260605T050231_N0512_R119_T44QPK_20260605T100518,T44QPK,2026-06-05,6.39,3.0,True,STRONG,data/raw/sentinel2/quicklooks\S2A_MSIL2A_20260605T050231_N0512_R119_T44QPK_20260605T100518.jpg,AVAILABLE
24,22.36557,87.30098,2.319767441860465,8.77,86,34,44.17,0.7142857142857143,0.2608695652173913,0.453416149068323,RECENTLY_INCREASING,True,True,False,False,False,True,45.0,WATCH,Industrial Fire,MEDIUM,Industrial Fire,84.0,Random Forest v1,Random Forest probability,25,90,20,25,84.53012048192771,55.18,MODERATE,S2C_MSIL2A_20260617T043701_N0512_R033_T45QWE_20260617T092754,T45QWE,2026-06-17,20.98,73.0,True,HISTORICAL_ONLY,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260617T043701_N0512_R033_T45QWE_20260617T092754.jpg,AVAILABLE
25,22.4853,79.92787,6.9,6.9,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,66.50602409638554,16.98,LOW,S2B_MSIL2A_20260601T050649_N0512_R019_T44QLK_20260601T085256,T44QLK,2026-06-01,16.29,0.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QLK_20260601T085256.jpg,AVAILABLE
26,23.32756,80.23992,6.79,6.79,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,65.44578313253012,16.82,LOW,S2B_MSIL2A_20260601T050649_N0512_R019_T44QML_20260601T085256,T44QML,2026-06-01,17.18,0.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QML_20260601T085256.jpg,AVAILABLE
27,23.41737,90.36649,4.05,4.05,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,39.036144578313255,12.86,LOW,,,,,,,,,UNAVAILABLE
28,23.67628,86.39945,2.9163636363636365,11.11,209,36,34.86,0.1428571428571428,0.4782608695652174,-0.3354037267080745,RECENTLY_DECREASING,False,False,False,True,False,True,20.0,NORMAL / STABLE,Mining / Industrial Thermal,HIGH,Mining / Industrial Thermal,91.33,Random Forest v1,Random Forest probability,23,45,0,23,100.0,35.35,MODERATE,S2B_MSIL2A_20260625T044659_N0512_R076_T45QVG_20260625T083525,T45QVG,2026-06-25,14.17,59.0,True,WEAK,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260625T044659_N0512_R076_T45QVG_20260625T083525.jpg,AVAILABLE
29,23.76712,86.40498,2.668868421052632,8.62,380,40,36.08,0.1428571428571428,0.4347826086956521,-0.2919254658385093,RECENTLY_DECREASING,False,False,False,False,False,True,0.0,NORMAL / STABLE,Mining / Industrial Thermal,HIGH,Mining / Industrial Thermal,98.67,Random Forest v1,Random Forest probability,43,45,0,43,83.08433734939759,36.81,MODERATE,S2B_MSIL2A_20260625T044659_N0512_R076_T45QVG_20260625T083525,T45QVG,2026-06-25,14.17,59.0,True,WEAK,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260625T044659_N0512_R076_T45QVG_20260625T083525.jpg,AVAILABLE
30,23.82235,84.57475,2.728235294117648,10.77,68,27,20.0,0.0,0.217391304347826,-0.217391304347826,INACTIVE_RECENTLY,False,False,False,True,False,True,20.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,100.0,22.0,LOW,S2C_MSIL2A_20260812T045701_N0512_R119_T45QTG_20260812T100317,T45QTG,2026-08-12,27.16,8.0,True,MODERATE,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260812T045701_N0512_R119_T45QTG_20260812T100317.jpg,AVAILABLE
31,24.86448,82.21765,3.08,3.08,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,29.686746987951807,11.45,LOW,S2B_MSIL2A_20260601T050649_N0512_R019_T44RPN_20260601T085256,T44RPN,2026-06-01,0.68,0.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44RPN_20260601T085256.jpg,AVAILABLE
32,24.98206,82.05885,1.91,1.91,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,18.40963855421687,9.76,LOW,S2B_MSIL2A_20260601T050649_N0512_R019_T44RPN_20260601T085256,T44RPN,2026-06-01,0.68,0.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44RPN_20260601T085256.jpg,AVAILABLE
33,25.58139,92.12543,9.665,16.2,2,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,True,True,False,30.0,WATCH,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,20,0,100.0,28.0,LOW,,,,,,,,,UNAVAILABLE
34,25.80008,91.56648,42.3,42.3,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,True,True,False,30.0,WATCH,Wildfire / Forest Fire,MEDIUM,Wildfire / Forest Fire,97.67,Random Forest v1,Random Forest probability,0,70,20,0,100.0,45.5,MODERATE,,,,,,,,,UNAVAILABLE
35,25.81858,91.46548,1.63,1.63,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,15.710843373493974,9.36,LOW,,,,,,,,,UNAVAILABLE
36,26.90513,96.21555,4.07,4.1,2,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,39.51807228915663,12.93,LOW,S2C_MSIL2A_20260807T040541_N0512_R047_T47RKK_20260807T070013,T47RKK,2026-08-07,29.4,67.0,True,HISTORICAL_ONLY,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260807T040541_N0512_R047_T47RKK_20260807T070013.jpg,AVAILABLE
37,25.09164,82.08245,3.625,4.08,2,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,39.32530120481928,12.9,LOW,S2B_MSIL2A_20260601T050649_N0512_R019_T44RPN_20260601T085256,T44RPN,2026-06-01,0.68,0.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44RPN_20260601T085256.jpg,AVAILABLE
38,26.54771,84.47966,3.98,3.98,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,38.36144578313253,12.75,LOW,S2C_MSIL2A_20260603T045701_N0512_R119_T45RTK_20260603T100112,T45RTK,2026-06-03,0.06,2.0,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260603T045701_N0512_R119_T45RTK_20260603T100112.jpg,AVAILABLE
39,27.06773,87.09245,3.51,3.51,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,33.83132530120482,12.07,LOW,S2B_MSIL2A_20260602T043659_N0512_R033_T45RWK_20260602T081357,T45RWK,2026-06-02,11.37,1.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260602T043659_N0512_R033_T45RWK_20260602T081357.jpg,AVAILABLE
40,27.08451,87.19726,7.87,7.87,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,75.855421686747,18.38,LOW,S2B_MSIL2A_20260602T043659_N0512_R033_T45RWK_20260602T081357,T45RWK,2026-06-02,11.37,1.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260602T043659_N0512_R033_T45RWK_20260602T081357.jpg,AVAILABLE
41,27.08731,87.23309,5.92,5.92,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,57.06024096385542,15.56,LOW,S2B_MSIL2A_20260602T043659_N0512_R033_T45RWK_20260602T081357,T45RWK,2026-06-02,11.37,1.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260602T043659_N0512_R033_T45RWK_20260602T081357.jpg,AVAILABLE
42,27.13899,87.18549,3.67,3.67,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,35.373493975903614,12.31,LOW,,,,,,,,,UNAVAILABLE
43,27.31304,92.70942,7.77,10.58,2,2,1.11,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,True,True,False,30.0,WATCH,Wildfire / Forest Fire,MEDIUM,Wildfire / Forest Fire,98.0,Random Forest v1,Random Forest probability,0,70,20,0,100.0,45.5,MODERATE,,,,,,,,,UNAVAILABLE
44,27.32792,92.67455,2.59,2.59,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,24.963855421686745,10.74,LOW,,,,,,,,,UNAVAILABLE
45,27.75122,96.14109,1.88,1.88,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,20,20,0,20,18.120481927710845,13.72,LOW,,,,,,,,,UNAVAILABLE
46,27.75456,95.43578,5.82,5.82,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,56.09638554216868,15.41,LOW,S2B_MSIL2A_20260706T041549_N0512_R090_T46RGR_20260706T063050,T46RGR,2026-07-06,9.98,35.0,True,WEAK,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260706T041549_N0512_R090_T46RGR_20260706T063050.jpg,AVAILABLE
47,27.77173,95.533,4.025555555555556,6.17,9,5,5.78,0.0,0.1304347826086956,-0.1304347826086956,INACTIVE_RECENTLY,False,False,False,False,False,True,0.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,59.46987951807229,15.92,LOW,S2C_MSIL2A_20260810T041551_N0512_R090_T46RGR_20260810T071116,T46RGR,2026-08-10,20.59,1.0,True,GOOD,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260810T041551_N0512_R090_T46RGR_20260810T071116.jpg,AVAILABLE
48,28.03781,95.43278,4.42,4.42,2,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,42.60240963855422,13.39,LOW,S2C_MSIL2A_20260810T041551_N0512_R090_T46RGS_20260810T071116,T46RGS,2026-08-10,27.19,70.0,True,HISTORICAL_ONLY,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260810T041551_N0512_R090_T46RGS_20260810T071116.jpg,AVAILABLE
